a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2555	0.447	Bu sayıda elimize ulaşan bir istifa söz konusu olmadığı gibi bahsi geçen yerlerdeki müstafilerin sayısı bir elin parmaklarını geçmemektedir.	There are no such numbers of resignations and, besides, the number of those who have resigned in the said places can be counted on the fingers of one hand.	There is no such thing as a resignation that reaches us, nor does the number of staffs in the mentioned places surpass the fingers of a hand.	1			
1339	0.447	Bu yıl trafiğin yine diğer branşlardaki karları götüreceğini söyleyen Çağlar, "Bu tavan fiyatlarla bu zarar sürdürülemez.	Noting that this year the traffic arm would take off the profits of the industry’s other arms, Çağlar said "With these capped prices, this loss is not sustainable.	This year the traffic will take the profits again in other branches said Caglar, "this damage can not be sustained at the prices of ceiling.	0			
1911	0.447	Biz de dedik ki bu böyle olmaz.	And we said that it could not happen like that.	We said that's not how it works.	0			
2170	0.449	Tamamen ücretsiz olan hizmet için herhangi bir sağlık güvencesi zorunluluğu da bulunmuyor.	There is no pre-requirement for any health insurance for this completely free service.	There is no need for any health insurance for the service which is completely free.	0			
1078	0.449	18 yaşından büyük olduğuna hükmedilen vakaların oranının yüksekliği mültecilerin yaşları hakkında mutlaka yalan söylediği anlamına gelmiyor.	The high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age.	The proportion of cases judged to be over 18 does not necessarily mean that refugees are lying about their age.	0			
2417	0.45	Ama oyuncu kim olursa olsun, başkan onun ayağına gitmez.	But, whoever is the player, the president does not go to him.	But no matter who the player is, the President won't go to his feet.	0			
2605	0.457	Skor 1-1 olduktan sonra iki net fırsattan yararlanamadılar.	After getting to a score of 1-1, they could not then benefit from two clear opportunities.	After the score was 1-1, they could not take advantage of two clear opportunities.	0			
1005	0.457	"Yaşananların ardından doğalgaz ihracatımızda bir düşüş değil aksine yüzde 30'luk bir artış yaşadık" dedi.	"After what happened, we had an increase of 30% in our exports, not a decrease" he said.	"Following the events, we experienced a 30 percent increase in our natural gas exports, not a decrease," he said.	0			
2470	0.457	Fakat veriler, şirketin sorumluları harekete geçmezse işe yaramaz oluyor.	But the data are useless unless a company's custodians take action.	But the data is useless if the company's responsible don't take action.	0			
1354	0.463	Bakanlık, tıbbi öz bakımlarını gideremedikleri, yatağa bağımlı olarak yaşamlarını sürdürdükleri veya ev yaşam koşullarının iyileştirilmesi gerekliliği ilgili sağlık birimince tespit edilen tüberküloz hastalarına ek ödeme de yapacak.	The Ministry will make additional payments to those tuberculosis patients who have been identified by the health unit as being unable to fulfil their medical self-care, who are bedridden, or who need improvements in their houses’ living conditions.	The Ministry will also pay extra for tuberculosis patients whose medical self-care cannot be removed, who are dependent on bed or who are determined by the relevant health unit to improve the conditions of home life.	0			
55	0.466	Sanders bu yılın başında, eyaletten geçerken yakıtının bitmesi ardından Missouri polisi tarafından bir suçla suçlanmadan göz altına alınmış ve şüpheli şartlarlar altında ölmüştü.	Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.	Sanders was arrested earlier this year for a charge by the Missouri police after he ran out of fuel as he passed through the state and died under suspicious circumstances.	1			
2448	0.466	Quinlan şöyle dedi: Eğer bir şirket, çalışanlarına kötü davranıyor ya da etik davranmıyorsa, düzenleyiciler devreye girmese bile tüketici boykotları, çalışan zaiyatı ya da davalar nedeniyle masraflı sonuçlarla karşı karşıya kalabilir.	If a company is found to treat its employees poorly or behave unethically, even if regulators don't step in, it can face costly consequences from consumer boycotts, employee attrition and lawsuits, Quinlan said.	Quinlan said: If a company is not treating its employees badly or ethically, it may face costly consequences because of consumer boycotts, employee weakness, or lawsuits, even if regulators don't come into play.	0			
2245	0.467	Ferrell "'Bu alışılmış değil.'" dediğini hatırladı.	"'This is not usual,'" Ferrell recalled saying.	"This is unusual.he remembered what he said.	1			
26	0.475	Asteroidin vereceği zarar sadece asteroidin kimyasal bileşimine değil çarpacağı bölgenin kayaç yapısına da bağlı.	The damage caused by an asteroid depends not only on the asteroid’s chemical compound, but also on the rock formations at the point of impact.	The damage to the asteroid is not only due to the chemical composition of the asteroid, but also to the rocky structure of the region it is going to hit.	0			
2402	0.48	Kimse raporu şartsız olarak kabul etmeyi düşünmüyor." diye ekledi, Smirnov.	No one plans to accept this report unconditionally," Smirnov added.	No one wants to accept the report unconditionally."he added, Smirnov.	0			
257	0.493	Bu cümlenin kodu şudur: Sünniliğe sahip çıkmadı!	The decoding of this sentence is this: He did not look out for the Sunnis!	The Code of this sentence is this: he did not have circumcision!	1			
495	0.493	Sıvılara yurt içi uçuşlarda izin veriliyor fakat uluslararası olanlarda izin verilmiyor.	Liquids are allowed on domestic flights, but not on international ones.	Liquids are allowed on domestic flights, but international ones are not allowed.	0			
747	0.493	Marbaugh şöyle dedi: "Kirlenmiş hissediyorum çünkü bu ben değilim."	"I feel dirty because this is not who I am," said Marbaugh.	Marbaugh said: "I feel dirty because it's not me."	0			
181	0.494	The Washington Post ile olan bir röportajda Hogan'ın kadın sözcüsü Amelia Chasse, yorumları engellemenin onları düzenlemekten fazlası olmadığını iddia ederek valinin icraatlarını savundu.	In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.	In an interview with the Washington Post, Hogan's female spokeswoman, Amelia Chasse, defended the Governor's actions, claiming that blocking Comments Was more than just editing them.	1	contradiction		
2428	0.494	Amy Errett e-ticaret start-up'ındaki çalışan mutluluğunu ölçmek istedi fakat anketler işe yaramıyordu.	Amy Errett wanted to gauge employee happiness at her e-commerce start-up, but surveys weren't working.	Amy errett wanted to measure her employee's happiness in e-commerce start-up, but the Polls didn't work.	0			
1997	0.495	Şiddette paydos yok, ülke çapında ceset sayısı artarken, bunlardan daha da fazlası gazeteciler oluyor: Gazetecileri Koruma Komitesi'ne göre, Başkan Enrique Pena Nieto Aralık 2012'de görevi devraldığından beri en az 25 kişi; saldırı ve tehditlerden sonra 589'u federal koruma altında ve bu yıl şu ana kadar yedi eyalette en az yedisi öldü.	There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.	According to the journalists Protection Committee, at least 25 people since President Enrique Pena Nieto took office in December 2012; 589 have been under federal Protection and at least seven have been killed in seven States this year after attacks and threats.	1			
2553	0.495	250 istifa, 300 istifa gibi asılsız mesnetsiz haberlerle kamuoyu yanlış yönlendirilmektedir.	The public is confused by baseless, unfounded news items such as claims of 250 resignations, 300 resignations.	The public is misled by unfounded news such as 250 resignation, 300 resignation.	0			
2604	0.497	Ya takım genç oyuncuya güvenmedi ya da performansının biraz daha gelişmesi gerekiyor.	Either the team did not trust the young player, or his performance needs to develop more.	Either the team did not trust the young player or the performance needs to improve a little more.	0			
2737	0.497	Gençlerin ailelerinin büyük birer acı yaşamakta olduğunu dile getiren avukat, gazetecilerden bu konuda açıklama almak için ısrarcı olmamalarını da istedi.	Relating how the young people’s families are undergoing a time of great sorrow, the lawyer told journalists to not insist on obtaining statements from them.	The lawyer also asked journalists not to insist on getting an explanation on this subject.	0			
2099	0.498	Eğer korkuyorlarsa bile göstermiyorlardı.	If they were at all afraid, they didn't show it.	If they were afraid, they wouldn't show it.	0			
247	0.514	Demek Erdoğan ile sorunu yoktu.	So, he had no problem with Erdoğan.	So he didn't have a problem with erdoğan.	0			
2222	0.525	Kendisine ordu komutanlığı teklif edildiğinde aynı şeyleri Ali İhsan Paşa da söylüyor: "Benden kıdemsiz olan İsmet'in emrinde savaşamam"...	When he was offered the army’s commandership, the same things were also uttered by Ali İhsan Paşa: "İsmet is junior to me, and I cannot fight under his command"...	Ali Ihsan paşa says the same thing when he is offered army command: "I cannot fight under Ismet, who is without seniority"...	0			
